LL,PL,PI,Sat_Unit_Wt_kN_m3,Phi_deg,Cu_kPa,Mv_50kPa,Mv_100kPa,Mv_200kPa,Cv_50kPa,Cv_100kPa,Cv_200kPa,SPT_kPa,Grain_2.36mm,Grain_0.425mm,Grain_0.075mm,Source_File,Wn_%,Mv_400kPa,Cv_400kPa,SPT_N,CPT_MPa,Grain_2.00mm,Mv_50kPa (m²/MN)x10⁻⁴,Mv_400kPa (m²/MN)x10⁻⁴,Cv_50kPa (m²/yr),Cv_400kPa (m²/yr),Grain_2.00mm (%),Grain_0.425mm (%),Grain_0.075mm (%),Grain_4.75mm,Grain_75um,Grain_4.25um,Grain_2um,is_plastic,LI,qc_est
0.0,0.0,0.0,2.3,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,79.2,45.7,7.5,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
0.0,0.0,0.0,2.32,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.07,89.2,53.2,9.4,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
47.0,35.5,11.5,1.92,10.0,40.8,0.47,0.66,0.75,0.85,,,66.09,99.2,63.9,36.5,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,1,,
48.5,36.4,12.1,1.93,12.0,48.5,0.5,0.7,0.8,0.91,,,,98.5,65.4,35.2,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,1,,
44.8,30.8,14.0,1.88,15.0,66.5,0.39,0.56,0.78,0.95,,,103.86,98.6,81.3,45.3,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,1,,
48.0,37.0,11.0,1.96,16.0,55.4,0.49,0.54,0.61,0.85,,,,97.6,73.4,38.5,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,1,,
46.5,36.7,9.8,1.97,16.0,42.2,0.41,0.48,0.56,0.72,,,84.98,96.8,68.5,36.3,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,1,,
0.0,0.0,0.0,2.09,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,84.3,46.8,17.2,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
0.0,0.0,0.0,2.16,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.3,88.2,43.7,16.8,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
0.0,0.0,0.0,2.2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.63,86.2,42.2,11.2,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
0.0,0.0,0.0,,,,,,,,,,,,,,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
0.0,0.0,0.0,,,,,,,,,,,,,,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
0.0,0.0,0.0,2.25,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.96,85.5,38.9,9.9,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
0.0,0.0,0.0,2.31,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,70.2,33.2,4.6,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
0.0,0.0,0.0,2.33,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.5,74.5,34.7,5.4,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
0.0,0.0,0.0,2.25,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,78.2,40.2,8.2,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
0.0,0.0,0.0,,,,,,,,,,273.82,,,,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
0.0,0.0,0.0,,,,,,,,,,,,,,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
0.0,0.0,0.0,,,,,,,,,,,,,,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
0.0,0.0,0.0,2.27,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.14,80.5,39.9,10.5,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,0,,
47.6,36.4,11.2,1.92,12.0,41.8,0.47,,0.66,0.75,,0.85,66.09,99.3,68.9,34.5,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
48.1,36.1,12.0,1.93,12.0,46.5,0.5,,0.7,0.8,,0.91,,98.7,65.4,32.6,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
44.6,30.6,14.0,1.88,15.0,66.2,0.39,,0.56,0.78,,0.95,94.42,98.4,79.5,44.1,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
46.9,37.1,9.8,1.97,16.0,42.2,0.41,,0.48,0.56,,0.72,84.98,97.6,73.4,38.5,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
46.9,37.1,9.8,1.97,16.0,42.2,0.41,,0.48,0.56,,0.72,84.98,96.8,68.5,36.3,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
47.5,36.0,11.5,1.92,12.0,40.7,0.47,,0.66,0.75,,0.84,75.53,99.2,63.9,36.5,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
45.2,31.2,14.0,1.88,15.0,65.8,0.39,,0.56,0.78,,0.94,103.86,98.5,80.5,45.1,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
48.6,37.4,11.2,1.96,16.0,55.4,0.49,,0.54,0.61,,0.85,,97.6,73.4,38.5,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
47.2,37.4,9.8,1.97,16.0,42.2,0.41,,0.48,0.56,,0.72,84.98,96.8,68.5,36.3,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
47.5,36.0,11.5,1.92,12.0,44.8,0.47,,0.66,0.75,,0.85,75.53,99.2,63.9,35.5,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
48.5,36.7,11.8,1.93,12.0,48.0,0.5,,0.7,0.8,,0.9,,98.5,65.4,35.2,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
45.6,31.9,13.7,1.88,15.0,65.7,0.39,,0.56,0.78,,0.95,113.3,98.6,80.8,45.3,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
48.0,38.2,9.8,1.97,16.0,55.4,0.49,,0.54,0.61,,0.85,94.42,97.6,73.4,38.5,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
47.5,36.0,11.5,1.92,12.0,40.6,0.47,,0.66,0.75,,0.86,75.53,99.2,63.9,36.5,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
48.6,36.6,12.0,1.93,12.0,47.5,0.5,,0.7,0.8,,0.91,,98.5,65.4,35.2,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
44.9,30.9,14.0,1.88,15.0,66.0,0.38,,0.56,0.78,,0.96,132.18,98.4,81.3,44.7,geotechnical_data_1.xlsx,,,,,,,,,,,,,,,,,,1,,
44.1,31.1,13.0,1.85,5.0,61.7,0.28,,0.39,1.07,,1.34,,98.4,67.2,44.0,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
45.4,32.6,12.8,1.85,7.0,62.7,0.31,,0.42,1.21,,1.42,169.95,97.6,65.44,45.2,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
46.0,30.5,15.5,1.84,8.0,62.0,0.24,,0.35,1.1,,1.36,151.07,96.7,77.5,46.2,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
46.4,30.4,16.0,1.84,10.0,64.6,0.23,,0.31,1.15,,1.29,,95.6,76.3,44.2,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
38.1,29.1,9.0,1.88,12.0,56.0,0.17,,0.28,1.02,,1.23,236.05,94.0,73.7,42.9,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
24.4,19.6,4.8,1.9,15.0,52.6,0.15,,0.26,1.05,,1.19,,93.5,72.9,39.4,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
44.8,30.8,14.0,1.84,6.0,59.4,0.31,,0.45,1.05,,1.23,,98.2,66.4,46.1,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
44.1,30.3,13.8,1.85,7.0,62.4,0.34,,0.48,1.1,,1.39,,97.6,65.8,44.0,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
48.0,33.0,15.0,1.85,15.0,63.7,0.26,,0.4,0.92,,1.25,179.39,97.2,57.4,41.3,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
45.7,31.1,14.6,1.85,15.0,64.6,0.3,,0.42,1.08,,1.37,,96.4,54.7,37.5,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
48.4,36.6,11.8,1.86,12.0,65.8,0.34,,0.43,1.31,,1.6,217.16,98.5,73.9,51.3,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
47.2,35.2,12.0,1.86,12.0,69.7,0.39,,0.51,1.26,,1.37,,98.1,70.2,43.0,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
36.8,18.8,18.0,1.88,16.0,53.4,0.19,,0.08,0.96,,1.24,,97.6,67.4,39.5,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
35.4,20.2,15.2,1.89,18.0,47.2,0.17,,0.06,0.87,,1.08,,96.8,58.5,37.2,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
52.6,35.6,17.0,1.81,4.0,37.4,0.47,,0.72,1.49,,1.78,,99.2,89.0,55.0,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
47.0,32.0,15.0,1.84,6.0,63.2,0.33,,0.38,1.03,,1.34,179.39,95.7,75.1,47.9,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
48.1,31.9,16.2,1.85,6.0,65.2,0.3,,0.4,1.12,,1.3,,96.4,77.5,48.5,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
41.2,30.7,10.5,1.86,12.0,65.8,0.36,,0.42,1.24,,1.39,,98.0,72.7,41.0,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
43.2,31.8,11.4,1.87,12.0,71.7,0.4,,0.49,1.15,,1.25,,97.6,69.5,36.2,geotechnical_data_2.xlsx,,,,,,,,,,,,,,,,,,1,,
