Feature,Importance,Importance_STD
LL,0.24698635493610396,0.022261048904003298
Cv_to_Mv_Ratio,0.1666154878222489,0.01448703010611738
PL,0.12236416724836115,0.013278404904236766
Cv_50kPa,0.057753912939764944,0.004304228764548462
Sand_Fraction_pct,0.04238680129260441,0.005559149926102797
Sat_Unit_Wt_kN_m3,0.031815098894965234,0.0029138128713527348
Sand_to_Fines_Ratio,0.02516044046075663,0.0032785271244454247
Density_x_Fines,0.024263368234682777,0.0030314594073513825
Fines_Content_pct,0.020959175129699845,0.0024826831946557796
Coarse_Fraction_pct,0.018989813366303454,0.0021198285801293554
Mv_50kPa,0.017274241125314047,0.0014710870696394349
PI_calc,0.015845198925933772,0.00150994794976548
Compression_x_Plasticity,0.011489971831574545,0.0010749825281816021
Plasticity_to_LL,0.006879315377693555,0.0005249119920914281
LL_to_PL_Ratio,0.006195374903164981,0.0004943005308951569
