LL,PL,PI,Sat_Unit_Wt_kN_m3,Phi_deg,Cu_kPa,Mv_50kPa,Mv_100kPa,Mv_200kPa,Cv_50kPa,Cv_100kPa,Cv_200kPa,SPT_Resistance_kPa,Grain_2.36mm,Grain_0.425mm,Grain_0.075mm,Source_File,SPT_BlowCount_N,Moisture_Content,Mv_400kPa,Cv_400kPa,CPT_MPa,Grain_2.00mm,Grain_4.75mm,Grain_4.25um,Grain_2um,Fines_Content,Sand_Fraction,Gravel_Fraction,Clay_Fraction,Silt_Fraction,Liquidity_Index,Consistency_Index,Plasticity_Ratio,LL_over_PL
,,,22.563,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,79.2,45.7,7.5,geotechnical_data_0.xlsx,,,,,,,,,,7.5,71.7,20.799999999999997,,,,,,
,,,22.7592,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.07,89.2,53.2,9.4,geotechnical_data_0.xlsx,,,,,,,,,,9.4,79.8,10.799999999999997,,,,,,
47.0,35.5,11.5,18.8352,10.0,40.8,0.47,0.66,0.75,0.85,,,66.09,99.2,63.9,36.5,geotechnical_data_0.xlsx,,,,,,,,,,36.5,62.7,0.7999999999999972,,,,,0.24468085106382978,1.323943661971831
48.5,36.4,12.1,18.9333,12.0,48.5,0.5,0.7,0.8,0.91,,,,98.5,65.4,35.2,geotechnical_data_0.xlsx,,,,,,,,,,35.2,63.3,1.5,,,,,0.24948453608247423,1.3324175824175826
44.8,30.8,14.0,18.4428,15.0,66.5,0.39,0.56,0.78,0.95,,,103.86,98.6,81.3,45.3,geotechnical_data_0.xlsx,,,,,,,,,,45.3,53.3,1.4000000000000057,,,,,0.3125,1.4545454545454544
48.0,37.0,11.0,19.2276,16.0,55.4,0.49,0.54,0.61,0.85,,,,97.6,73.4,38.5,geotechnical_data_0.xlsx,,,,,,,,,,38.5,59.099999999999994,2.4000000000000057,,,,,0.22916666666666666,1.2972972972972974
46.5,36.7,9.8,19.3257,16.0,42.2,0.41,0.48,0.56,0.72,,,84.98,96.8,68.5,36.3,geotechnical_data_0.xlsx,,,,,,,,,,36.3,60.5,3.200000000000003,,,,,0.210752688172043,1.2670299727520435
,,,20.5029,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,84.3,46.8,17.2,geotechnical_data_0.xlsx,,,,,,,,,,17.2,67.1,15.700000000000003,,,,,,
,,,21.189600000000002,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.3,88.2,43.7,16.8,geotechnical_data_0.xlsx,,,,,,,,,,16.8,71.4,11.799999999999997,,,,,,
,,,21.582000000000004,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.63,86.2,42.2,11.2,geotechnical_data_0.xlsx,,,,,,,,,,11.2,75.0,13.799999999999997,,,,,,
,,,,,,,,,,,,,,,,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,
,,,22.0725,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.96,85.5,38.9,9.9,geotechnical_data_0.xlsx,,,,,,,,,,9.9,75.6,14.5,,,,,,
,,,22.6611,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,70.2,33.2,4.6,geotechnical_data_0.xlsx,,,,,,,,,,4.6,65.60000000000001,29.799999999999997,,,,,,
,,,22.857300000000002,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.5,74.5,34.7,5.4,geotechnical_data_0.xlsx,,,,,,,,,,5.4,69.1,25.5,,,,,,
,,,22.0725,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,78.2,40.2,8.2,geotechnical_data_0.xlsx,,,,,,,,,,8.2,70.0,21.799999999999997,,,,,,
,,,,,,,,,,,,273.82,,,,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,
,,,22.268700000000003,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.14,80.5,39.9,10.5,geotechnical_data_0.xlsx,,,,,,,,,,10.5,70.0,19.5,,,,,,
47.6,36.4,11.2,18.8352,12.0,41.8,0.47,,0.66,0.75,,0.85,66.09,99.3,68.9,34.5,geotechnical_data_1.xlsx,,,,,,,,,,34.5,64.8,0.7000000000000028,,,,,0.2352941176470588,1.3076923076923077
48.1,36.1,12.0,18.9333,12.0,46.5,0.5,,0.7,0.8,,0.91,,98.7,65.4,32.6,geotechnical_data_1.xlsx,,,,,,,,,,32.6,66.1,1.2999999999999972,,,,,0.24948024948024947,1.332409972299169
44.6,30.6,14.0,18.4428,15.0,66.2,0.39,,0.56,0.78,,0.95,94.42,98.4,79.5,44.1,geotechnical_data_1.xlsx,,,,,,,,,,44.1,54.300000000000004,1.5999999999999943,,,,,0.3139013452914798,1.457516339869281
