LL,PL,PI,Sat_Unit_Wt_kN_m3,Mv_50kPa,Cv_50kPa,Grain_CoarsePassing_pct,Fines_Content_pct,Sand_Fraction_pct,Gravel_Fraction_pct,Phi_deg,Cu_kPa
47.0,35.5,11.5,18.8352,0.47,0.85,99.2,36.5,62.7,0.7999999999999972,10.0,40.8
48.5,36.4,12.1,18.9333,0.5,0.91,98.5,35.2,63.3,1.5,12.0,48.5
44.8,30.8,14.0,18.4428,0.39,0.95,98.6,45.3,53.3,1.4000000000000057,15.0,66.5
48.0,37.0,11.0,19.2276,0.49,0.85,97.6,38.5,59.099999999999994,2.4000000000000057,16.0,55.4
46.5,36.7,9.8,19.3257,0.41,0.72,96.8,36.3,60.5,3.200000000000003,16.0,42.2
47.6,36.4,11.2,18.8352,0.47,0.75,99.3,34.5,64.8,0.7000000000000028,12.0,41.8
48.1,36.1,12.0,18.9333,0.5,0.8,98.7,32.6,66.1,1.2999999999999972,12.0,46.5
44.6,30.6,14.0,18.4428,0.39,0.78,98.4,44.1,54.300000000000004,1.5999999999999943,15.0,66.2
46.9,37.1,9.8,19.3257,0.41,0.56,97.6,38.5,59.099999999999994,2.4000000000000057,16.0,42.2
46.9,37.1,9.8,19.3257,0.41,0.56,96.8,36.3,60.5,3.200000000000003,16.0,42.2
47.5,36.0,11.5,18.8352,0.47,0.75,99.2,36.5,62.7,0.7999999999999972,12.0,40.7
45.2,31.2,14.0,18.4428,0.39,0.78,98.5,45.1,53.4,1.5,15.0,65.8
48.6,37.4,11.2,19.2276,0.49,0.61,97.6,38.5,59.099999999999994,2.4000000000000057,16.0,55.4
47.2,37.4,9.8,19.3257,0.41,0.56,96.8,36.3,60.5,3.200000000000003,16.0,42.2
47.5,36.0,11.5,18.8352,0.47,0.75,99.2,35.5,63.7,0.7999999999999972,12.0,44.8
48.5,36.7,11.8,18.9333,0.5,0.8,98.5,35.2,63.3,1.5,12.0,48.0
45.6,31.9,13.7,18.4428,0.39,0.78,98.6,45.3,53.3,1.4000000000000057,15.0,65.7
48.0,38.2,9.8,19.3257,0.49,0.61,97.6,38.5,59.099999999999994,2.4000000000000057,16.0,55.4
47.5,36.0,11.5,18.8352,0.47,0.75,99.2,36.5,62.7,0.7999999999999972,12.0,40.6
48.6,36.6,12.0,18.9333,0.5,0.8,98.5,35.2,63.3,1.5,12.0,47.5
44.9,30.9,14.0,18.4428,0.38,0.78,98.4,44.7,53.7,1.5999999999999943,15.0,66.0
44.1,31.1,13.0,18.148500000000002,0.28,1.07,98.4,44.0,54.400000000000006,1.5999999999999943,5.0,61.7
45.4,32.6,12.8,18.148500000000002,0.31,1.21,97.6,45.2,52.39999999999999,2.4000000000000057,7.0,62.7
46.0,30.5,15.5,18.050400000000003,0.24,1.1,96.7,46.2,50.5,3.299999999999997,8.0,62.0
46.4,30.4,16.0,18.050400000000003,0.23,1.15,95.6,44.2,51.39999999999999,4.400000000000006,10.0,64.6
38.1,29.1,9.0,18.4428,0.17,1.02,94.0,42.9,51.1,6.0,12.0,56.0
24.4,19.6,4.8,18.639,0.15,1.05,93.5,39.4,54.1,6.5,15.0,52.6
44.8,30.8,14.0,18.050400000000003,0.31,1.05,98.2,46.1,52.1,1.7999999999999972,6.0,59.4
44.1,30.3,13.8,18.148500000000002,0.34,1.1,97.6,44.0,53.599999999999994,2.4000000000000057,7.0,62.4
48.0,33.0,15.0,18.148500000000002,0.26,0.92,97.2,41.3,55.900000000000006,2.799999999999997,15.0,63.7
45.7,31.1,14.6,18.148500000000002,0.3,1.08,96.4,37.5,58.900000000000006,3.5999999999999943,15.0,64.6
48.4,36.6,11.8,18.2466,0.34,1.31,98.5,51.3,47.2,1.5,12.0,65.8
47.2,35.2,12.0,18.2466,0.39,1.26,98.1,43.0,55.099999999999994,1.9000000000000057,12.0,69.7
36.8,18.8,18.0,18.4428,0.19,0.96,97.6,39.5,58.099999999999994,2.4000000000000057,16.0,53.4
35.4,20.2,15.2,18.5409,0.17,0.87,96.8,37.2,59.599999999999994,3.200000000000003,18.0,47.2
52.6,35.6,17.0,17.7561,0.47,1.49,99.2,55.0,44.2,0.7999999999999972,4.0,37.4
47.0,32.0,15.0,18.050400000000003,0.33,1.03,95.7,47.9,47.800000000000004,4.299999999999997,6.0,63.2
48.1,31.9,16.2,18.148500000000002,0.3,1.12,96.4,48.5,47.900000000000006,3.5999999999999943,6.0,65.2
41.2,30.7,10.5,18.2466,0.36,1.24,98.0,41.0,57.0,2.0,12.0,65.8
43.2,31.8,11.4,18.344700000000003,0.4,1.15,97.6,36.2,61.39999999999999,2.4000000000000057,12.0,71.7
49.0,34.8,14.2,17.9523,0.24,1.25,98.6,49.0,49.599999999999994,1.4000000000000057,5.0,58.5
45.2,31.7,13.5,18.050400000000003,0.21,1.19,97.8,48.2,49.599999999999994,2.200000000000003,5.0,60.0
42.0,31.0,11.0,18.2466,0.17,1.05,97.2,42.5,54.7,2.799999999999997,6.0,61.8
43.2,31.0,12.2,18.2466,0.18,1.12,97.5,43.2,54.3,2.5,8.0,63.5
44.2,31.7,12.5,18.2466,0.39,1.28,98.5,44.1,54.4,1.5,12.0,70.3
45.7,32.8,12.9,18.344700000000003,0.42,1.2,97.8,45.2,52.599999999999994,2.200000000000003,12.0,72.2
41.0,23.0,18.0,17.854200000000002,0.19,0.96,97.6,41.5,56.099999999999994,2.4000000000000057,15.0,59.4
