Feature,Importance,Importance_STD
Sat_Unit_Wt_kN_m3,0.23698141462622926,0.020374640170129937
Mv_50kPa,0.13347642646635957,0.014953243140002901
PI_calc,0.10029998020828497,0.010036497528771943
Density_x_Sand,0.0758053343652748,0.006384398316179783
Gravel_to_Sand_Ratio,0.0540835703338417,0.005767275470059086
Cv_50kPa,0.05027113259344448,0.003768286937649771
LL,0.03868652154330481,0.0036012861234830983
Mv_to_Cv_Ratio,0.030610631807545967,0.0029015230805285648
Fines_Content_pct,0.03025660951640775,0.002622596037935668
Coarse_Fraction_pct,0.02987315579671013,0.0024281041083168164
PL,0.024236485555803742,0.002268872137818931
Plasticity_to_LL,0.019226539458845376,0.0016320094169541375
Sand_Fraction_pct,0.01711584137393044,0.0014029005343466666
Sand_to_Fines_Ratio,0.015106067345076083,0.0011392404703755943
